English,Label,Tigrinya (TIR),Tigrinya (IPA),Oromo (Orm),Oromo (IPA),Wikipedia,KB ID,
Abadula Gemeda,PER,,,Abbaaduulaa Gammadaa,,https://en.wikipedia.org/wiki/Abadula_Gemeda,,
Abalti Mountains,LOC,,,Gooroo Abbaltii,,,,
Abaya; Abbaya,GPE,,,Abbaya; Abbaayaa,,https://en.wikipedia.org/wiki/Abaya_(woreda),,
Abay Tsehaye,,,,,,,,
Abbalti,,,,Abbaltii,,,,
ABC; A.B.C.,ORG,ኤ . ቢ . ሲ .,,,,,,
Abdul Aziz al-Rantissi,PER,ኣብዱል ዓዚዝ ኣል - ራንቲዚ,ʔabdul ʕaziz ʔal - rantizi,,,,,
Abdul Kalam,PER,ኣብዱል ካላም,ʔabdul kalam,,,,,
Abe,PER,ዓቤ,ʕabe,,,,,
Abilene,GPE,ኣቢሌን,,,,,,
Abomsa,GPE,,,Abboomsaa,,https://en.wikipedia.org/wiki/Abomsa,345703,
Abraham Afewerki,PER,ን’ኣብራሃም ኣፈወርቂ,,,,,,
Abraham Getachew,PER,ኣብርሃም ጌታቸው,,,,,,
Abyssinia; Ethiopian Empire,GPE,,,Habashaa,,https://en.wikipedia.org/wiki/Ethiopian_Empire,,
Adabba; Adaba,,,,Adaabbaa,,,7670644,
Adama; Nazret; Nazreth,GPE,አዳማ,,Adaamaa; Hadaamaa,,https://en.wikipedia.org/wiki/Adama,,
Adama University; Adama Science and Technology University,ORG,,,,,https://en.wikipedia.org/wiki/Adama_University,,
Adami Tullu,PER,,,Adaamii Tulluu,,https://en.wikipedia.org/wiki/Adami_Tullu,,
Adami Tullu and Jido Kombolcha,GPE,,,,,https://en.wikipedia.org/wiki/Adami_Tullu_and_Jido_Kombolcha,10630197,
Addalle; Adele; Addelle,,,,Addallee; Addellee,,,,
Addis Ababa,GPE,ኣዲስ ኣበባ,ʔadis ʔabəba,Finfinne; Shaggar; Finfinnee,fɪnˈfɪ́n.nɛ́,https://en.wikipedia.org/wiki/Addis_Ababa,344979,
Addis Ababa University,ORG,,,,,https://en.wikipedia.org/wiki/Addis_Ababa_University,,
ADFE,ORG,ሰደግኤን,sədəɡɨʔen,,,https://en.wikipedia.org/wiki/Aerospace_Data_Facility-East,,
Adi Keyh; Addi Qeyh; Adi Keih; Adi Caie; Addi Caieh; Adi Ciah; Adi Keyih; Adi Kaie,GPE,ዓዲ ቐይሕ,ʕadi qʰəjɨħ,,,https://en.wikipedia.org/wiki/Adi_Keyh,345046,
Adi Quala,GPE,ዓዲ ዃላ,ʕadi xʷala,,,https://en.wikipedia.org/wiki/Adi_Quala,,
Adoolaa,,,,Adoolaa,,,,
Adulala,,,,Adulaala,,,344809,
Aegean Sea,LOC,ኤጅያዊ ባሕርን,,,,https://en.wikipedia.org/wiki/Aegean_Sea,265695,
Afar National Democratic Party,ORG,,,,,https://en.wikipedia.org/wiki/Afar_National_Democratic_Party,,
Afar Region,GPE,,,Affaar,,https://en.wikipedia.org/wiki/Afar_Region,444179,
Afawerki; Afewerki,,ኣፈወርቂ,,,,,,
Afder Zone,GPE,,,,,https://en.wikipedia.org/wiki/Afder_Zone,9410038,
Afghanistan,GPE,ኣፍጋኒስታን,ʔafɡanistan,Afgaanistaan,,https://en.wikipedia.org/wiki/Afghanistan,1149361,
AFP; Agence France-Presse,ORG,AFP,afɨp,Ajaanis Firaanis Pirees,,,,
Africa,LOC,ኣፍሪቃ,ʔafɨriqa,Afrikaa; Aafrikaa; Afirikaa,,https://en.wikipedia.org/wiki/Africa,6255146,
African Commision on Human and People's Rights; ACHPR,ORG,,,Komiishinni Miga Namaa Afriikaa fi Mirga Uummattootaa,,https://en.wikipedia.org/wiki/African_Commission_on_Human_and_Peoples%27_Rights,,
African Union,ORG,ኣፍሪቃዊ ሕብረት; ሕብረት ኣፍሪካ,ʔafɨriqawi ħɨbɨrət,,,https://en.wikipedia.org/wiki/African_Union,20000004,
Afwerki Isaias,PER,ኢሰያስ,,,,,,
Agafra,,,,Agafraa,,,,
Agartala,,ኣጋርታላ,ʔaɡartala,,,,,
Agazi,,,,Agaazii,,,,
Agew Awi,GPE,,,,,https://en.wikipedia.org/wiki/Agew_Awi_Zone,,
